Get Categories for URLs from file
# Instance: zscalertwo  | retrieved by user api@disher.net ###
# Script Started: 2020-10-18 09:57:58

Processing Script
/Users/mdisher/PycharmProjects/ZSCheckURLs/nUrls_Check_And_Lookup_Script.py
Logged in successfully in  API 

Results below this line is csv content. cut/copy/paste or open with Excel
________________________________
url,dns_resolves,category_01,category_02,category_03,category_04,numCategories,secAlert_01,secAlert_02,secAlert_03,secAlert_04,numSecAlerts
go.exploringyourpotential.com,YES:52.206.228.50,OTHER_EDUCATION,,,,1,,,,,0
westashleywellness.com,YES:66.155.35.240,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
analytics.suiteplatform.group,YES:54.87.158.194,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.totalcsr.com,YES:172.67.207.49,FINANCE,,,,1,,,,,0
awsstatreporter.com,YES:99.84.251.101,NON_CATEGORIZABLE,,,,1,,,,,0
www.gadgetgone.com,YES:142.93.59.190,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.simpleindeed.com,YES:162.241.216.32,BLOG,DINING_AND_RESTAURANT,,,2,,,,,0
www.esadoggy.com,YES:104.26.5.193,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.centinelspine.com,YES:162.241.141.223,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.steveconstable.com,YES:23.229.173.35,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
paypal-eu-arh.cloudiq.com,YES:35.227.236.6,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
cdn.ahcdigital.org,YES:152.195.33.85,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
whitleysauctioneers.com,YES:107.180.77.192,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.dryoungdental.com,YES:184.154.220.34,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
seniorsavingshub.com,YES:13.57.167.99,BLOG,,,,1,,,,,0
www.veparchaeology.org,YES:216.59.63.130,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
mtgoldglamping.co.nz,YES:35.213.181.120,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.deepc.vn,YES:35.214.227.24,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.pchsuperprize.com,YES:40.71.11.176,GAMBLING,OTHER_SHOPPING_AND_AUCTIONS,,,2,,,,,0
www.orangeexpresspharmacy.com,YES:66.96.149.31,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.detop-project.eu,YES:89.46.105.23,OTHER_EDUCATION,HEALTH,OTHER_INFORMATION_TECHNOLOGY,,3,,,,,0
www.thirdeyevision.com,YES:35.208.74.143,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
graycity.net,YES:104.31.69.162,HOBBIES_AND_LEISURE,,,,1,,,,,0
punelocaltraintimetable.net,YES:66.206.11.130,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.cdnvx.com,YES:104.26.7.123,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
jamiladavis.com,YES:35.208.69.33,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.kkrdds.com,YES:69.168.78.95,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
miki-tiki.com,YES:50.87.151.13,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
tathagat.mba,YES:72.249.49.192,CONTINUING_EDUCATION_COLLEGES,,,,1,,,,,0
www.evergreenfootandankle.com,YES:67.225.140.76,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
173.243.8.153,YES:173.243.8.153,ONLINE_CHAT,WEB_CONFERENCING,,,2,,,,,0
www.florafaunachicago.com,YES:151.101.194.159,DINING_AND_RESTAURANT,,,,1,,,,,0
www.kentuckypremier.com,YES:54.208.212.1,SPORTS,,,,1,,,,,0
jamilahbraids.com,YES:148.72.83.155,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
revlimidhcp.com,YES:34.193.219.5,HEALTH,,,,1,,,,,0
i.0ps.us,YES:152.195.32.50,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
odysseybyyendi.com,YES:23.227.38.32,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.kendallmedicalsupplies.com,YES:35.209.21.152,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
imah.com.gh,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
13.84.223.16,YES:13.84.223.16,PROFESSIONAL_SERVICES,,,,1,,,,,0
ludwickfamilydentistry.com,YES:198.71.233.197,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.perfectlyputogether.com,DoesNotResolve,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
specialtyspinecare.com,YES:104.28.14.167,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.mediumpath.com,YES:104.18.35.6,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.greateraustinsws.com,YES:199.34.228.150,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
metricsengine.io,YES:104.154.227.127,PROFESSIONAL_SERVICES,,,,1,,,,,0
kannadasongslyrics.in,YES:104.24.99.156,MUSIC,,,,1,,,,,0
www.knottinghillplace.com,YES:198.49.23.145,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
baetencounseling.com,YES:198.57.245.120,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.thesafetymag.com,YES:52.168.10.1,CORPORATE_MARKETING,,,,1,,,,,0
www.jqplasticsurgery.com,YES:74.208.236.2,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
bitcon.tech,YES:192.232.223.120,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
tbieschke.com,YES:35.190.148.6,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
sunberryrx.com,YES:104.207.231.163,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
dzmailer.in,YES:52.172.33.86,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
www.terraformupandrunning.com,YES:104.31.74.35,CORPORATE_MARKETING,,,,1,,,,,0
52.242.211.89,YES:52.242.211.89,PROFESSIONAL_SERVICES,,,,1,,,,,0
analytics.suiteplatform.group,YES:54.87.158.194,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
mi.loft.com,YES:44.231.75.238,CORPORATE_MARKETING,SPECIALIZED_SHOPPING,,,2,,,,,0
app.birdseed.io,YES:3.209.62.83,PROFESSIONAL_SERVICES,,,,1,,,,,0
www.christiancounselinginreno.com,YES:172.67.144.218,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
myhomedr.com,YES:192.186.227.67,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0
cenergyhealthpartners.com,YES:199.59.242.153,MISCELLANEOUS_OR_UNKNOWN,,,,1,,,,,0


Logged off successfully from API
# Script Ended: 2020-10-18 09:58:41

Script runtime approx: 42.507239 seconds
When you see Disher, buy him a drink because he just saved you a boat load of time.
